"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Darrel Williams,KAN,2019,24,RB,12,0,41,141,3,12,81,2.0,60,2,1,41,19,15,167,1,7,-12,-0.8,179,11.9,1.1,0,,0,0,0,120.8,11,11,1.0,3,"19.6%",2,2,"100.0%",14,7.0,1,"11.1%",4,25,458.0,67.8,62,81,19
Ryquell Armstead,JAX,2019,23,RB,16,1,35,108,0,5,18,0.5,90,3,2,18,24,14,144,2,9,25,1.8,119,8.5,1.5,0,,2,8,1,86.1,6,3,0.5,0,"11.5%",1,1,"100.0%",7,7.0,1,"8.3%",1,10,422.8,51.2,71,79,8
Raheem Mostert,SFO,2019,27,RB,16,0,137,772,8,31,475,3.5,297,2,12,11,22,14,180,2,6,25,1.8,155,11.1,2.0,1,14.0,2,9,0,119.5,11,73,6.6,4,"18.0%",2,2,"100.0%",18,9.0,0,"10.5%",4,91,973.0,165.2,25,109,84
Frank Gore,BUF,2019,36,RB,16,8,166,599,2,30,260,1.6,339,2,10,17,16,13,100,0,5,12,0.9,88,6.8,0.9,1,13.0,1,6,0,92.7,26,33,1.3,2,"56.5%",0,0,"0%",0,0.0,0,"0.0%",2,33,220.0,94.9,49,57,8
Chase Edmonds,ARI,2019,23,RB,13,2,60,303,4,12,180,3.0,123,2,4,15,21,12,105,1,5,-3,-0.3,108,9.0,0.1,2,6.0,5,24,1,66.6,7,45,6.4,2,"29.2%",4,6,"66.7%",18,4.5,1,"50.0%",3,63,407.8,82.8,56,76,20
Brian Hill,ATL,2019,24,RB,12,2,78,323,2,19,157,2.0,166,2,3,26,14,10,69,1,4,15,1.5,54,5.4,1.5,2,5.0,1,7,0,106.0,10,37,3.7,1,"20.0%",1,3,"33.3%",10,10.0,1,"23.1%",2,47,566.0,67.2,63,93,30
Carlos Hyde,HOU,2019,29,RB,16,14,245,1070,6,55,525,2.1,545,2,22,11,16,10,42,0,2,-9,-0.9,51,5.1,1.4,2,5.0,1,6,2,27.1,35,92,2.6,5,"79.5%",2,4,"50.0%",11,5.5,0,"26.7%",5,103,155.7,153.2,29,51,22
CJ Prosise,SEA,2019,25,RB,9,0,23,72,1,4,39,1.7,33,1,1,23,12,10,76,0,3,10,1.0,66,6.6,4.3,0,,0,0,0,93.1,4,14,3.5,1,"7.0%",0,0,"0%",0,0.0,0,"0.0%",1,14,702.0,28.8,89,103,14
Gus Edwards,BAL,2019,24,RB,16,1,133,711,2,46,335,2.5,376,3,7,19,7,7,45,0,2,0,0.0,45,6.4,0.0,0,,0,0,0,93.5,23,62,2.7,1,"31.9%",1,1,"100.0%",6,6.0,0,"10.0%",1,68,433.0,92.6,51,80,29
Myles Gaskin,MIA,2019,22,RB,7,0,36,133,1,7,28,0.8,105,3,0,,12,7,51,0,2,5,0.7,46,6.6,0.2,0,,2,17,0,68.4,5,4,0.8,1,"9.6%",1,2,"50.0%",0,0.0,0,"12.5%",1,4,624.0,31.4,85,96,11
Bilal Powell,NYJ,2019,31,RB,13,1,59,229,0,12,82,1.4,147,2,4,15,12,7,33,0,0,-12,-1.7,45,6.4,1.8,1,7.0,3,25,0,63.2,5,4,0.8,0,"20.0%",1,2,"50.0%",5,5.0,0,"15.4%",0,9,664.5,33.2,83,101,18
Jordan Wilkins,IND,2019,25,RB,14,1,51,307,2,12,140,2.7,167,3,4,13,11,7,43,0,1,11,1.6,32,4.6,1.4,1,7.0,1,9,0,71.4,11,35,3.2,2,"19.0%",0,1,"0.0%",0,0.0,0,"14.3%",2,35,682.0,54.0,69,102,33
Jonathan Williams,IND,2019,25,RB,9,1,49,235,1,13,102,2.1,133,3,7,7,5,5,59,0,3,-5,-1.0,64,12.8,-1.0,0,,0,0,0,115.8,8,25,3.1,1,"13.8%",0,0,"0%",0,0.0,0,"0.0%",1,25,728.0,40.4,79,108,29
Mike Boone,MIN,2019,24,RB,16,2,49,273,3,9,93,1.9,180,4,2,24,4,3,17,0,0,-9,-3.0,26,8.7,-1.3,1,3.0,1,25,1,42.7,8,32,4.0,2,"9.4%",0,0,"0%",0,0.0,0,"0.0%",2,32,702.0,50.0,73,104,31
Benny Snell,PIT,2019,21,RB,13,2,108,426,2,19,125,1.2,301,3,7,15,4,3,23,0,0,1,0.3,22,7.3,-0.5,0,,0,0,0,88.5,17,41,2.4,1,"34.7%",0,0,"0%",0,0.0,0,"0.0%",1,41,505.0,57.9,67,86,19
Jeff Wilson,SFO,2019,24,RB,10,0,27,105,4,9,66,2.4,39,1,0,,5,3,34,1,1,13,4.3,21,7.0,2.4,0,,1,20,0,120.0,16,41,2.6,4,"26.2%",0,1,"0.0%",0,0.0,0,"5.3%",4,41,530.0,46.9,76,90,14
Wes Hills,DET,2019,24,RB,1,1,10,21,2,3,9,0.9,12,1,0,,2,2,1,0,0,-2,-1.0,3,1.5,-1.0,0,,0,0,0,79.2,3,5,1.7,2,"7.1%",0,0,"0%",0,0.0,0,"0.0%",2,5,999.0,16.2,96,111,15
Qadree Ollison,ATL,2019,23,RB,8,0,22,50,4,6,29,1.3,21,1,0,,2,1,7,0,1,4,4.0,3,3.0,1.5,0,,1,50,0,58.3,9,22,2.4,4,"18.0%",0,0,"0%",0,0.0,0,"0.0%",4,22,632.0,30.7,87,97,10
Bo Scarbrough,DET,2019,25,RB,6,5,89,377,1,15,183,2.1,194,2,5,18,4,1,5,0,0,-3,-3.0,8,8.0,-2.0,0,,0,0,0,39.6,6,23,3.8,1,"14.3%",0,0,"0%",0,0.0,0,"0.0%",1,23,507.0,43.2,77,87,10
JD McKissic,WAS,2020,27,RB,16,7,85,365,1,25,180,2.1,185,2,9,9,110,80,589,2,32,86,1.1,503,6.3,1.7,4,20.0,2,2,3,79.7,14,29,2.1,1,"24.1%",5,11,"45.5%",32,6.4,1,"78.6%",2,61,287.0,191.4,16,80,64
Nyheim Hines,IND,2020,24,RB,16,2,89,380,3,24,224,2.5,156,2,8,11,76,63,482,4,24,12,0.2,470,7.5,0.7,5,12.6,1,1,0,110.6,27,79,2.9,3,"36.0%",8,10,"80.0%",53,6.6,2,"55.6%",5,132,149.5,193.2,14,48,34
Mike Davis,CAR,2020,27,RB,15,12,165,642,6,38,244,1.5,398,2,21,8,70,59,373,2,17,-45,-0.8,418,7.1,-0.5,11,5.4,2,3,1,92.4,41,99,2.4,6,"64.1%",8,11,"72.7%",29,3.6,2,"64.7%",8,128,299.0,206.5,12,82,70
David Montgomery,CHI,2020,23,RB,15,14,247,1070,8,59,480,1.9,590,2,29,8,68,54,438,2,25,42,0.8,396,7.3,0.9,11,4.9,3,4,0,103.3,42,126,3.0,6,"79.2%",5,10,"50.0%",30,6.0,1,"55.6%",7,156,63.8,264.8,4,27,23
Chase Edmonds,ARI,2020,24,RB,16,2,97,448,1,22,261,2.7,187,2,10,10,67,53,402,4,21,76,1.4,326,6.2,2.0,6,8.8,1,2,0,111.6,15,46,3.1,0,"21.4%",10,11,"90.9%",78,7.8,4,"84.6%",4,124,139.8,168.0,24,47,23
James Robinson,JAX,2020,22,RB,14,14,240,1070,7,54,455,1.9,615,3,16,15,60,49,344,3,15,-39,-0.8,383,7.8,-0.8,5,9.8,2,3,0,107.2,31,119,3.8,7,"91.2%",6,6,"100.0%",49,8.2,3,"50.0%",10,168,245.7,250.4,7,72,65
